id,name,startTime,endTime,category
1,Algerian Soccer/Ligue 1/Fixtures 06 September/ES Setif v USM Bel Abbes,2014-09-06 18:00:00,2014-09-06 20:01:31,soccer
2,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi,2014-09-03 21:15:00,2014-09-03 23:08:25,soccer
3,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Atl Tucuman v CA Temperley,2014-09-03 00:30:00,2014-09-03 03:46:34,soccer
4,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy,2014-09-03 21:00:00,2014-09-03 22:54:00,soccer
5,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 07 September/CA Temperley v Santamarina,2014-09-07 21:00:00,2014-09-07 22:53:16,soccer
6,Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September / Arsenal FC v Banfield,2014-09-01 22:15:00,2014-09-02 00:07:13,soccer
7,Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September / Lanus v Olimpo,2014-09-01 20:00:00,2014-09-01 21:58:00,soccer
8,Argentinian Soccer/Argentinian Primera Division/Fixtures 01 September/San Lorenzo v River Plate,2014-09-01 00:30:00,2014-09-01 02:21:42,soccer
9,Argentinian Soccer/Argentinian Primera Division/Fixtures 02 September / Tigre v Quilmes,2014-09-02 00:30:00,2014-09-02 02:21:31,soccer
10,Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Atletico Rafaela v Gimnasia La Plata,2014-09-06 18:00:00,2014-09-06 19:53:01,soccer
11,Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Estudiantes v Belgrano,2014-09-06 21:10:00,2014-09-06 23:05:09,soccer
12,Argentinian Soccer/Argentinian Primera Division/Fixtures 06 September/Velez v Newells,2014-09-06 20:00:00,2014-09-06 21:55:03,soccer
13,Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Banfield v Independiente,2014-09-06 23:15:00,2014-09-07 01:10:46,soccer
14,Argentinian Soccer/Argentinian Primera Division/Fixtures 07 September/Racing Club v Lanus,2014-09-07 20:15:00,2014-09-07 22:12:41,soccer
15,Armenian Soccer/Armenian First League/Fixtures 01 September/Shirak FC II v Gandzasar FC II,2014-09-01 13:00:00,2014-09-01 14:48:10,soccer
16,Asean Basketball League 2014/Fixtures 03 September/Indonesia Warriors v Singapore Slingers,2014-09-03 12:00:00,2014-09-03 13:51:39,basket
17,Asean Basketball League 2014/Fixtures 05 September/Malaysia Dragons v Laskar Dreya,2014-09-05 12:00:00,2014-09-05 13:53:45,basket
18,Asean Basketball League 2014/Fixtures 06 September/Indonesia Warriors v Bangkok City,2014-09-06 09:00:00,2014-09-06 10:51:48,basket
19,Asean Basketball League 2014/Fixtures 07 September/Saigon Heat v Malaysia Dragons,2014-09-07 11:00:00,2014-09-07 13:07:26,basket
20,Azerbaijan Soccer/Azerbaijan I Divizion/Fixtures 06 September/Qaradag Lokbatan FK v FK Energetik Mingecevir,2014-09-06 12:30:00,2014-09-06 14:24:23,soccer
21,Belgian Soccer/Belgian Second Division/Fixtures 03 September / Woluwe-Zaventem v Dessel Sport,2014-09-03 16:30:00,2014-09-03 18:11:38,soccer
22,Belgian Soccer/Belgian Second Division/Fixtures 03 September/Antwerp v RC Mechelen,2014-09-03 18:30:00,2014-09-03 20:23:53,soccer
23,Belgian Soccer/Belgian Second Division/Fixtures 03 September/White Star Bruxelles v Tubize,2014-09-03 18:30:00,2014-09-03 20:26:23,soccer
24,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Dessel Sport v Antwerp,2014-09-06 17:30:00,2014-09-06 19:15:16,soccer
25,Belgian Soccer/Belgian Second Division/Fixtures 06 September/Mons v Roeselare,2014-09-06 18:00:00,2014-09-06 19:49:59,soccer
26,Belgian Soccer/Belgian Second Division/Fixtures 07 September/Eendracht Aalst v Sint Truiden,2014-09-07 13:00:00,2014-09-07 14:45:31,soccer
27,Brazilian Soccer/Brazilian Cup/Fixtures 02 September/ABC v Vasco da Gama,2014-09-02 22:30:00,2014-09-03 00:23:38,soccer
28,Brazilian Soccer/Brazilian Cup/Fixtures 03 September/Santa Rita v Cruzeiro,2014-09-03 22:30:00,2014-09-04 00:22:15,soccer
29,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Ceara v Botafogo RJ,2014-09-04 01:00:00,2014-09-04 03:18:40,soccer
30,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Corinthians v Bragantino SP,2014-09-04 01:00:00,2014-09-04 02:55:01,soccer
31,Brazilian Soccer/Brazilian Cup/Fixtures 04 September/Flamengo v Coritiba,2014-09-04 01:00:00,2014-09-04 02:56:43,soccer
32,Brazilian Soccer/Brazilian Cup/Fixtures 05 September/Atletico MG v Palmeiras,2014-09-04 23:00:00,2014-09-05 00:52:20,soccer
33,Brazilian Soccer/Brazilian Division 2/Fixtures 02 September/Parana v Sampaio Correa,2014-09-02 22:30:00,2014-09-03 00:21:56,soccer
