id,market_id,name,winner
2249229,111934590,Novak Djokovic,0
2249345,111934590,Gilles Simon,0
2249399,111934590,Richard Gasquet,0
2251402,111934590,Roger Federer,0
2256470,111934590,Tomas Berdych,0
2256509,111934590,Andy Murray,0
2257298,111934590,Tommy Robredo,0
2257300,111934590,Gael Monfils,1
2257302,111934590,Philipp Kohlschreiber,0
2257309,111934590,Stanislas Wawrinka,0
2265109,111934590,Feliciano Lopez,0
2444577,111934590,Jo Wilfried Tsonga,0
3120169,111934590,Grigor Dimitrov,0
4105819,111934590,Milos Raonic,0
4290403,111934590,Roberto Bautista Agut,0
5224084,111934590,David Goffin,0
5720747,111934590,Dominic Thiem,0
2248499,111934594,Shuai Peng,0
2248507,111934594,Flavia Pennetta,0
2250864,111934594,Kaia Kanepi,0
2252607,111934594,Jelena Jankovic,0
2256462,111934594,Lucie Safarova,0
2256494,111934594,Casey Dellacqua,0
2309522,111934594,Caroline Wozniacki,0
2309567,111934594,Sara Errani,0
2453959,111934594,Ekaterina Makarova,0
2538236,111934594,Serena Williams,1
5300820,111934594,Aleksandra Krunic,0
5704759,111934594,Eugenie Bouchard,0
6390244,111934594,Belinda Bencic,0
208002,113528687,Angola,0
208010,113528687,New Zealand,0
208017,113528687,Argentina,0
512602,113528687,Greece,0
512603,113528687,Croatia,0
1228979,113528687,Finland,0
1499770,113528687,Australia,0
4096285,113528687,Philippines,1
127991,114048194,AC Milan,1
208006,114351058,Spain,1
208017,114351059,Argentina,0
512602,114351059,Greece,1
512603,114351059,Croatia,0
512601,114351065,Lithuania,1
1499770,114351065,Australia,0
48351,114613844,Man Utd,1
512602,114688651,Greece,1
512603,114688651,Croatia,0
47999,114910122,Man City,0
48351,114910122,Man Utd,0
7560413,114910122,No Transfer,1
2305745,114988922,Neil Lennon,0
4822868,114988922,Billy McKinlay,1
8773601,114988922,Mark Lillis,0
41364,115050993,Yes,1
41364,115050995,Yes,1
41365,115050995,No,0
914423,115050998,Big 3,0
1478460,115050998,The Field,1
2249229,115050999,Novak Djokovic,1
