id,name,startTime,endTime,category
1,Algerian Soccer/Ligue 1/Fixtures 06 September/ES Setif v USM Bel Abbes,2014-09-06 18:00:00,2014-09-06 20:01:31,soccer
2,Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 01 September/Estudiantes de Caseros v CA Fenix,2014-09-01 16:00:00,2014-09-01 17:37:52,soccer
3,Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Club Villa Dalmine v CA Atlanta,2014-09-02 00:05:00,2014-09-02 01:57:40,soccer
4,Argentinian Soccer/Argentinian Primera B Metropolitana/Fixtures 02 September/Comunicaciones B Aires v CD Moron,2014-09-02 18:30:00,2014-09-02 20:22:03,soccer
5,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 02 September/Sportivo Belgrano v Huracan,2014-09-02 21:15:00,2014-09-02 23:07:06,soccer
6,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September / Douglas Haig v Instituto,2014-09-03 22:00:00,2014-09-03 23:50:45,soccer
7,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Argentinos Juniors v Aldosivi,2014-09-03 21:15:00,2014-09-03 23:08:31,soccer
8,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Atl Tucuman v CA Temperley,2014-09-03 00:30:00,2014-09-03 03:46:34,soccer
9,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 03 September/Ferro Carril Oeste v Gimnasia Jujuy,2014-09-03 21:00:00,2014-09-03 22:54:00,soccer
10,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Colon v Guarani AF,2014-09-04 00:00:00,2014-09-04 02:28:38,soccer
11,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Patronato v Sarmiento de Junin,2014-09-04 00:00:00,2014-09-04 03:09:22,soccer
12,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/San Martin de San Juan v Nueva Chicago,2014-09-04 00:30:00,2014-09-04 02:53:00,soccer
13,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 04 September/Santamarina v Independiente Rivadavia,2014-09-03 23:30:00,2014-09-04 01:55:15,soccer
14,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Guarani AF v Argentinos Juniors,2014-09-06 22:00:00,2014-09-06 23:55:46,soccer
15,Argentinian Soccer/Argentinian Primera B Nacional/Fixtures 06 September/Huracan v Atl Tucuman,2014-09-06 19:00:00,2014-09-06 20:54:18,soccer
